slide_rank,slide_id,stainer,scanner
0,GIVH_AT2_to_GMH_S60,GIVH,AT2
1,GIVH_GT450_to_GMH_S60,GIVH,GT450
2,GIVH_P_to_GMH_S60,GIVH,P
3,GIVH_S210_to_GMH_S60,GIVH,S210
4,GIVH_S360_to_GMH_S60,GIVH,S360
5,GIVH_S60_to_GMH_S60,GIVH,S60
6,GIVH_SQ_to_GMH_S60,GIVH,SQ
7,GIV_AT2_to_GMH_S60,GIV,AT2
8,GIV_GT450_to_GMH_S60,GIV,GT450
9,GIV_P_to_GMH_S60,GIV,P
10,GIV_S210_to_GMH_S60,GIV,S210
11,GIV_S360_to_GMH_S60,GIV,S360
12,GIV_S60_to_GMH_S60,GIV,S60
13,GIV_SQ_to_GMH_S60,GIV,SQ
14,GMH_AT2_to_GMH_S60,GMH,AT2
15,GMH_GT450_to_GMH_S60,GMH,GT450
16,GMH_P_to_GMH_S60,GMH,P
17,GMH_S210_to_GMH_S60,GMH,S210
18,GMH_S360_to_GMH_S60,GMH,S360
19,GMH_S60_to_GMH_S60,GMH,S60
20,GMH_SQ_to_GMH_S60,GMH,SQ
21,GM_AT2_to_GMH_S60,GM,AT2
22,GM_GT450_to_GMH_S60,GM,GT450
23,GM_P_to_GMH_S60,GM,P
24,GM_S210_to_GMH_S60,GM,S210
25,GM_S360_to_GMH_S60,GM,S360
26,GM_S60_to_GMH_S60,GM,S60
27,GM_SQ_to_GMH_S60,GM,SQ
28,GVH_AT2_to_GMH_S60,GVH,AT2
29,GVH_GT450_to_GMH_S60,GVH,GT450
30,GVH_P_to_GMH_S60,GVH,P
31,GVH_S210_to_GMH_S60,GVH,S210
32,GVH_S360_to_GMH_S60,GVH,S360
33,GVH_S60_to_GMH_S60,GVH,S60
34,GVH_SQ_to_GMH_S60,GVH,SQ
35,GV_AT2_to_GMH_S60,GV,AT2
36,GV_GT450_to_GMH_S60,GV,GT450
37,GV_P_to_GMH_S60,GV,P
38,GV_S210_to_GMH_S60,GV,S210
39,GV_S360_to_GMH_S60,GV,S360
40,GV_S60_to_GMH_S60,GV,S60
41,GV_SQ_to_GMH_S60,GV,SQ
42,HRH_AT2_to_GMH_S60,HRH,AT2
43,HRH_GT450_to_GMH_S60,HRH,GT450
44,HRH_P_to_GMH_S60,HRH,P
45,HRH_S210_to_GMH_S60,HRH,S210
46,HRH_S360_to_GMH_S60,HRH,S360
47,HRH_S60_to_GMH_S60,HRH,S60
48,HRH_SQ_to_GMH_S60,HRH,SQ
49,HR_AT2_to_GMH_S60,HR,AT2
50,HR_GT450_to_GMH_S60,HR,GT450
51,HR_P_to_GMH_S60,HR,P
52,HR_S210_to_GMH_S60,HR,S210
53,HR_S360_to_GMH_S60,HR,S360
54,HR_S60_to_GMH_S60,HR,S60
55,HR_SQ_to_GMH_S60,HR,SQ
56,KRH_AT2_to_GMH_S60,KRH,AT2
57,KRH_GT450_to_GMH_S60,KRH,GT450
58,KRH_P_to_GMH_S60,KRH,P
59,KRH_S210_to_GMH_S60,KRH,S210
60,KRH_S360_to_GMH_S60,KRH,S360
61,KRH_S60_to_GMH_S60,KRH,S60
62,KRH_SQ_to_GMH_S60,KRH,SQ
63,KR_AT2_to_GMH_S60,KR,AT2
64,KR_GT450_to_GMH_S60,KR,GT450
65,KR_P_to_GMH_S60,KR,P
66,KR_S210_to_GMH_S60,KR,S210
67,KR_S360_to_GMH_S60,KR,S360
68,KR_S60_to_GMH_S60,KR,S60
69,KR_SQ_to_GMH_S60,KR,SQ
70,LMH_AT2_to_GMH_S60,LMH,AT2
71,LMH_GT450_to_GMH_S60,LMH,GT450
72,LMH_P_to_GMH_S60,LMH,P
73,LMH_S210_to_GMH_S60,LMH,S210
74,LMH_S360_to_GMH_S60,LMH,S360
75,LMH_S60_to_GMH_S60,LMH,S60
76,LMH_SQ_to_GMH_S60,LMH,SQ
77,LM_AT2_to_GMH_S60,LM,AT2
78,LM_GT450_to_GMH_S60,LM,GT450
79,LM_P_to_GMH_S60,LM,P
80,LM_S210_to_GMH_S60,LM,S210
81,LM_S360_to_GMH_S60,LM,S360
82,LM_S60_to_GMH_S60,LM,S60
83,LM_SQ_to_GMH_S60,LM,SQ
84,MY_AT2_to_GMH_S60,MY,AT2
85,MY_GT450_to_GMH_S60,MY,GT450
86,MY_P_to_GMH_S60,MY,P
87,MY_S210_to_GMH_S60,MY,S210
88,MY_S360_to_GMH_S60,MY,S360
89,MY_S60_to_GMH_S60,MY,S60
90,MY_SQ_to_GMH_S60,MY,SQ
